"GeneID"	"D.RM1_1"	"D.RM1_2"	"D.RM1_3"	"RM1_1"	"RM1_2"	"RM1_3"	"R.RM1_1"	"R.RM1_2"	"R.RM1_3"	"geneName"	"geneType"
"ENSMUSG00000000194.13"	1514	1182	375	916	1079	940	1007	1228	1141	"Gpr107"	"protein_coding"
"ENSMUSG00000000197.8"	34	47	59	0	0	7	2	1	7	"Nalcn"	"protein_coding"
"ENSMUSG00000000202.9"	11	19	16	0	0	0	5	2	11	"Btbd17"	"protein_coding"
"ENSMUSG00000000204.16"	99	49	28	5	0	1	0	15	11.02	"Slfn4"	"protein_coding"
"ENSMUSG00000000214.11"	3	11	9	0	0	0	0	0	1	"Th"	"protein_coding"
"ENSMUSG00000000215.11"	1	0	1	0	0	0	0	0	0	"Ins2"	"protein_coding"
"ENSMUSG00000000216.8"	6	5	5	3	0	0	0	3	0	"Scnn1g"	"protein_coding"
"ENSMUSG00000000223.13"	63	59	31	195	104	118	85	152	152	"Drp2"	"protein_coding"
"ENSMUSG00000000244.17"	42	43	38	9	14	1	6	19	36	"Tspan32"	"protein_coding"
"ENSMUSG00000000247.11"	7	16	22	0	0	2	1	2	4	"Lhx2"	"protein_coding"
"ENSMUSG00000000248.16"	10	16	24	2	0	0	0	0	5	"Clec2g"	"protein_coding"
"ENSMUSG00000000253.13"	5	7	12	0	8	1	3	3	7	"Gmpr"	"protein_coding"
"ENSMUSG00000000263.15"	0	0	10	2	4	5	0	2	0	"Glra1"	"protein_coding"
"ENSMUSG00000000266.11"	96	104	48	106	91	146	117	126	87	"Mid2"	"protein_coding"
"ENSMUSG00000000275.16"	7197	4680	1490	2056	2181	2283	4834	5273	4674	"Trim25"	"protein_coding"
"ENSMUSG00000000276.11"	354	266	138	784	656	612	451	573	473	"Dgke"	"protein_coding"
"ENSMUSG00000000278.10"	10884	7387	2367	3655	4313	3750	5732	5979	4696	"Scpep1"	"protein_coding"
"ENSMUSG00000000282.12"	2546	1535	447	2650	3064	2736	2931	3138	2201	"Mnt"	"protein_coding"
"ENSMUSG00000000290.13"	53	12	8	116	138	117	83	77	77	"Itgb2"	"protein_coding"
"ENSMUSG00000000295.13"	178	127	66	552	667	599	525	578	391	"Hddc2"	"protein_coding"
"ENSMUSG00000000296.8"	5	0	1	3	1	4	1	3	4	"Tpd52l1"	"protein_coding"
"ENSMUSG00000000301.16"	30	19	6	116	140	95	87	118	85	"Pemt"	"protein_coding"
"ENSMUSG00000000303.12"	3	4	15	3	0	3	5	4	1	"Cdh1"	"protein_coding"
"ENSMUSG00000000305.12"	33	28	47	0	5	15	12	5	6	"Cdh4"	"protein_coding"
"ENSMUSG00000000308.14"	19	5	11	0	0	11	0	3	1	"Ckmt1"	"protein_coding"
"ENSMUSG00000000317.11"	13	20	11	0	0	18	0	0	10	"Bcl6b"	"protein_coding"
"ENSMUSG00000000318.16"	29	16	11.57	0	16	0	9	6	8	"Clec10a"	"protein_coding"
"ENSMUSG00000000320.10"	11	9	13	0	0	5	0	1	1	"Alox12"	"protein_coding"
"ENSMUSG00000000325.16"	233	189	59	142	218	186	127	138	127	"Arvcf"	"protein_coding"
"ENSMUSG00000000326.13"	1705	1097	323	1993	2245	2162	2124	2257	1767	"Comt"	"protein_coding"
"ENSMUSG00000000339.14"	597	439	154	1419	1745	1455	1474	1754	1345	"Rtca"	"protein_coding"
"ENSMUSG00000000340.10"	284	205	70	559	586	633	349	363	327	"Dbt"	"protein_coding"
"ENSMUSG00000000346.9"	4526.49	3415.18	1095	7192.88	8404.68	8499.28	8314.85	9168.86	6500.75	"Dazap2"	"protein_coding"
"ENSMUSG00000000355.13"	266	261	48	492	448	439	473	454	379	"Mcts1"	"protein_coding"
"ENSMUSG00000000359.3"	8	3	14	0	2	0	1	0	1	"Rem1"	"protein_coding"
"ENSMUSG00000000365.9"	1	0	4	0	0	0	0	0	0	"Rnf17"	"protein_coding"
"ENSMUSG00000000374.8"	1382	874	267	2085	2457	2175	2327	2667	2608	"Trappc10"	"protein_coding"
"ENSMUSG00000000378.15"	438	363	109	877	1060	1025	1049	1213	1098	"Ccm2"	"protein_coding"
"ENSMUSG00000000381.10"	0	0	7	3	0	0	0	0	0	"Wap"	"protein_coding"
"ENSMUSG00000000384.15"	1220.17	847.85	306	5993	6755	6343.47	4166	5087	4172.12	"Tbrg4"	"protein_coding"
"ENSMUSG00000000385.8"	14	7	30	3	0	3	0	0	5	"Tmprss2"	"protein_coding"
"ENSMUSG00000000386.15"	383.5	153	105	2	0	0	38	30	23	"Mx1"	"protein_coding"
"ENSMUSG00000000392.17"	5	2	16	0	0	0	0	0	5	"Fap"	"protein_coding"
"ENSMUSG00000000394.15"	0	0	3	0	0	0	0	0	0	"Gcg"	"protein_coding"
"ENSMUSG00000000399.10"	509	406	98	1091	1405	1394	1196	1426	1037	"Ndufa9"	"protein_coding"
"ENSMUSG00000000402.2"	0	0	7	0	0	0	3	0	0	"Egfl6"	"protein_coding"
"ENSMUSG00000000409.14"	15	4	8	4	4	1	1	4	5	"Lck"	"protein_coding"
"ENSMUSG00000000411.7"	6	14	7	0	0	1	0	0	0	"Tssk3"	"protein_coding"
"ENSMUSG00000000416.16"	8	11	38	0	0	11	0	4	0	"Cttnbp2"	"protein_coding"
"ENSMUSG00000000420.15"	16841	12140	3530	7417	9084	7577	12704	14311	10358	"Galnt1"	"protein_coding"
"ENSMUSG00000000435.1"	5	21	16	0	0	2	0	6	0	"Myf5"	"protein_coding"
"ENSMUSG00000000439.9"	711	487	178	925	1058	1019	813	1069	765	"Mkrn2"	"protein_coding"
"ENSMUSG00000000440.12"	7	10	13	1	0	0	0	0	1	"Pparg"	"protein_coding"
"ENSMUSG00000000441.17"	1594	1064	330	2836	3031	2960	2436	3106	2590	"Raf1"	"protein_coding"
"ENSMUSG00000000486.13"	8	38	12	25	20	10	25	34	15	"Sept1"	"protein_coding"
"ENSMUSG00000000489.7"	124	177	63	380	526	479	311	262	275	"Pdgfb"	"protein_coding"
"ENSMUSG00000000530.16"	24	12	29	6	0	16	4	3	7	"Acvrl1"	"protein_coding"
"ENSMUSG00000000531.5"	366	405	96	842	749	776	443	568	380	"Grasp"	"protein_coding"
"ENSMUSG00000000532.11"	363	216	97	278	303	269	315	335	282	"Acvr1b"	"protein_coding"
"ENSMUSG00000000538.18"	2468	1941	578	1524	1748	1819	2183	2582	2230	"Tom1l2"	"protein_coding"
"ENSMUSG00000000544.14"	7	3	16	0	0	0	13	12	3	"Gpa33"	"protein_coding"
"ENSMUSG00000000552.10"	2043	1346	379	1285	1598	1452	1862	1844	1411	"Zfp385a"	"protein_coding"
"ENSMUSG00000000555.8"	5806	4586	1152	3066	3655	3219	4242	5254	3880	"Itga5"	"protein_coding"
"ENSMUSG00000000560.9"	13	9	25	0	3	10	0	0	5	"Gabra2"	"protein_coding"
"ENSMUSG00000000561.14"	1088.15	785.85	224.7	5321.77	5852.7	6033.72	4821.48	6034.39	4588.95	"Wdr77"	"protein_coding"
"ENSMUSG00000000562.5"	9	9	26	0	0	12	0	0	0	"Adora3"	"protein_coding"
"ENSMUSG00000000563.17"	2539.62	1765.28	626.91	5975.6	6644.47	6929.7	6520.78	7533.31	5505.08	"Atp5f1"	"protein_coding"
"ENSMUSG00000000567.5"	10694	8728	2388	2262	3068	2454	8188	8742	5469	"Sox9"	"protein_coding"
"ENSMUSG00000000568.15"	3923	2814	927	13885	16193	15025	14345	15693	11751	"Hnrnpd"	"protein_coding"
"ENSMUSG00000000579.14"	133.08	171.03	89.85	81.48	49.76	101.62	84.4	75.69	117.71	"Dynlt1c"	"protein_coding"
"ENSMUSG00000000581.8"	281	234	91	365	372	485	513	571	349	"C1d"	"protein_coding"
"ENSMUSG00000000594.7"	318	238	84	29	57	47	74	89	89	"Gm2a"	"protein_coding"
"ENSMUSG00000000600.15"	910	523	247	1018	1126	929	1102	1241	913	"Krit1"	"protein_coding"
"ENSMUSG00000000605.9"	984	556	160	929	1096	804	813	1032	841	"Clcn4"	"protein_coding"
"ENSMUSG00000000606.18"	5	32	22	0	0	0	0	0	3	"Vmn2r88"	"protein_coding"
"ENSMUSG00000000617.14"	14	13	23	0	0	4	1	5	3	"Grm6"	"protein_coding"
"ENSMUSG00000000627.15"	19	19	32	0	0	0	4	0	2	"Sema4f"	"protein_coding"
"ENSMUSG00000000628.10"	993	682	198	4119	4937	4234	2864	3342	2644	"Hk2"	"protein_coding"
"ENSMUSG00000000631.20"	2015	1348	445	2848	3058	2892	2007	2134	1899	"Myo18a"	"protein_coding"
"ENSMUSG00000000632.13"	18	21	14	6	1	18	0	0	9	"Sez6"	"protein_coding"
"ENSMUSG00000000673.9"	12	16	29	2	1	6	0	0	1	"Haao"	"protein_coding"
"ENSMUSG00000000682.7"	1	7	2	0	0	0	0	0	1	"Cd52"	"protein_coding"
"ENSMUSG00000000686.11"	32	34	25	103	73	81	64	82	87	"Abhd15"	"protein_coding"
"ENSMUSG00000000690.5"	31	31	19	71	41	58	36	30	21	"Hoxb6"	"protein_coding"
"ENSMUSG00000000693.10"	16	21	21	0	5	13	13	2	9	"Loxl3"	"protein_coding"
"ENSMUSG00000000701.8"	0	3	6	0	0	0	0	0	0	"Tcl1b5"	"protein_coding"
"ENSMUSG00000000706.16"	25	1	22	2	7	0	0	5	5	"Btn1a1"	"protein_coding"
"ENSMUSG00000000708.14"	2318.98	1572.9	498.88	1102.98	1223.99	1046.94	1576	1634	1296.98	"Kat2b"	"protein_coding"
"ENSMUSG00000000711.3"	2275.51	1822	464.62	1202.57	1463	1317.43	2190.91	2355	2030.45	"Rab5b"	"protein_coding"
"ENSMUSG00000000724.10"	0	4	0	0	0	0	0	0	0	"Cryba1"	"protein_coding"
"ENSMUSG00000000730.13"	2	3	6	3	0	14	3	0	2	"Dnmt3l"	"protein_coding"
"ENSMUSG00000000731.15"	10	7	12	0	0	0	0	0	1	"Aire"	"protein_coding"
"ENSMUSG00000000732.9"	15	23	25	0	0	2	0	3	11	"Icosl"	"protein_coding"
"ENSMUSG00000000738.18"	958	766	180	1258	1293	1179	1259	1520	1237	"Spg7"	"protein_coding"
"ENSMUSG00000000739.14"	18	23	26	8	3	3	2	1	8	"Sult5a1"	"protein_coding"
"ENSMUSG00000000740.12"	44371.8	37416.23	12533.24	45764.15	52752.82	50770.66	51592.42	60157.05	39091.07	"Rpl13"	"protein_coding"
"ENSMUSG00000000743.9"	1031	822	182	1272	1588	1507	1470	1835	1846	"Chmp1a"	"protein_coding"
"ENSMUSG00000000751.13"	1520	1035	299	5180	6233	6041	5506	6501	5536	"Rpa1"	"protein_coding"
"ENSMUSG00000000753.15"	9048	6711	2161	4688	5124	4485	7691	8582	6365	"Serpinf1"	"protein_coding"
"ENSMUSG00000000759.14"	1479	1078	355	3231	3400	3162	3072	3834	2710	"Tubgcp3"	"protein_coding"
"ENSMUSG00000000766.18"	11	10	34	2	0	8	2	0	2	"Oprm1"	"protein_coding"
"ENSMUSG00000000776.13"	543	388	111	1464	1612	1520	1268	1409	1087	"Polr3d"	"protein_coding"
"ENSMUSG00000000782.15"	52	43	30	41	42	54	62	99	34	"Tcf7"	"protein_coding"
"ENSMUSG00000000787.12"	7868	5066	1541	34555	38564	37321	28275	34380	24363	"Ddx3x"	"protein_coding"
"ENSMUSG00000000791.9"	76	73	54	37	51	24	50	48	40	"Il12rb1"	"protein_coding"
"ENSMUSG00000000792.2"	26	16	20	38	26	19	43	52	30	"Slc5a5"	"protein_coding"
"ENSMUSG00000000794.9"	32	75	64	2	2	10	7	6	12	"Kcnn3"	"protein_coding"
"ENSMUSG00000000804.14"	2468	1683	479	2123	2485	2342	2677	2784	2396	"Usp32"	"protein_coding"
"ENSMUSG00000000805.18"	0	6	16	0	0	0	0	0	3	"Car4"	"protein_coding"
"ENSMUSG00000000811.13"	156	73	21	535	597	672	663	694	539	"Txnrd3"	"protein_coding"
"ENSMUSG00000000817.10"	3	12	10	0	0	0	0	0	1	"Fasl"	"protein_coding"
"ENSMUSG00000000823.16"	891	741	201	1537	1557	1281	1239	1571	1252	"Zfp512b"	"protein_coding"
"ENSMUSG00000000826.16"	2818	1836	539	4401	5223	5115	5287	5789	4947	"Dnajc5"	"protein_coding"
"ENSMUSG00000000827.18"	1878	1551	506	2085	2456	2496	3003	3199	2468	"Tpd52l2"	"protein_coding"
"ENSMUSG00000000838.17"	4014	2503	751	8680	9713	9444	9104	9960.88	7520.34	"Fmr1"	"protein_coding"
"ENSMUSG00000000861.15"	59	61	75	3	0	1	12	2	22	"Bcl11a"	"protein_coding"
"ENSMUSG00000000869.12"	0	0	0	0	0	0	0	0	0	"Il4"	"protein_coding"
"ENSMUSG00000000876.11"	139	104	52	17	39	44	50	64	63	"Pxmp4"	"protein_coding"
"ENSMUSG00000000881.12"	924	773	224	606	804	600	1288	1576	1023	"Dlg3"	"protein_coding"
"ENSMUSG00000000884.17"	172.53	183	49	430.71	423.66	506.02	359.24	568.25	402.22	"Gnb1l"	"protein_coding"
"ENSMUSG00000000889.8"	3	0	6	0	0	0	0	0	0	"Dbh"	"protein_coding"
"ENSMUSG00000000901.17"	832	528	160	316	383	398	400	464	364	"Mmp11"	"protein_coding"
"ENSMUSG00000000902.13"	1713	1272	353	3051	3376	3332	3152	3728	3198	"Smarcb1"	"protein_coding"
"ENSMUSG00000000903.3"	1	2	5	0	0	0	0	2	3	"Vpreb3"	"protein_coding"
"ENSMUSG00000000915.15"	400	307	133	612	660	571	476	548	525	"Hip1r"	"protein_coding"
"ENSMUSG00000000916.15"	373	245	78	1110	1177	1340	786	1124	941	"Nsun5"	"protein_coding"
"ENSMUSG00000000934.9"	137	86	50	722	698	692	389	544	374	"Top1mt"	"protein_coding"
"ENSMUSG00000000938.11"	985	561	186	1324	1327	1263	1688	1873	1396	"Hoxa10"	"protein_coding"
"ENSMUSG00000000942.10"	10	15	2	16	11	9	22	13	6	"Hoxa4"	"protein_coding"
"ENSMUSG00000000948.16"	15	2	18	0	0	5	1	0	3	"Gm38393"	"protein_coding"
"ENSMUSG00000000957.11"	6084	4275	1049	2167	2410	2476	4268	4692	3864	"Mmp14"	"protein_coding"
"ENSMUSG00000000958.10"	41	12	10	1	17	12	13	32	2	"Slc7a7"	"protein_coding"
"ENSMUSG00000000959.7"	967	659	204	1557	1811	1693	1556	1698	1219	"Oxa1l"	"protein_coding"
"ENSMUSG00000000976.13"	1229	965	245	1762	2178	1949	2111	2466	2057	"Heatr6"	"protein_coding"
"ENSMUSG00000000982.5"	0	0	3	1	0	0	0	0	0	"Ccl3"	"protein_coding"
"ENSMUSG00000000983.13"	1	6	9	0	0	0	0	0	0	"Wfdc18"	"protein_coding"
"ENSMUSG00000001014.6"	5	13	11	5	13	6	22	11	5	"Icam4"	"protein_coding"
"ENSMUSG00000001016.12"	881	760	232	3189	3314	3087	3022	3575	2867	"Ilf2"	"protein_coding"
"ENSMUSG00000001017.15"	1559	1244	331	3647	3886	3743	3781	4467	3500	"Chtop"	"protein_coding"
"ENSMUSG00000001018.15"	781	469	137	673	815	615	925	1095	717	"Snapin"	"protein_coding"
"ENSMUSG00000001020.8"	13141	12278	3208	16594	16770.17	17608.74	18092	18819	18427	"S100a4"	"protein_coding"
"ENSMUSG00000001021.12"	82	79	67	58	76	104	58	107	59	"S100a3"	"protein_coding"
"ENSMUSG00000001023.10"	6	0	6	1	9	8	24	7	18	"S100a5"	"protein_coding"
"ENSMUSG00000001025.8"	14365	11896	3802	13470	15442	14573	15899	17809	14508	"S100a6"	"protein_coding"
"ENSMUSG00000001027.7"	22	37	38	1	0	11	0	0	6	"Scn4a"	"protein_coding"
"ENSMUSG00000001029.15"	2	7	7	0	0	1	3	0	0	"Icam2"	"protein_coding"
"ENSMUSG00000001034.17"	974	635	218	1169	1268	1126	1300	1660	1344	"Mapk7"	"protein_coding"
"ENSMUSG00000001036.17"	2425	1860	562	3011	3477	3132	3127	3852	3250	"Epn2"	"protein_coding"
"ENSMUSG00000001039.12"	112	91	19	71	91	67	120	97	107	"B9d1"	"protein_coding"
"ENSMUSG00000001052.15"	4027	2805	816	6351	7158	6554	6785	7783	5608	"Sec24b"	"protein_coding"
"ENSMUSG00000001053.15"	310	280	52	646	728	659	508	620	623	"N4bp3"	"protein_coding"
"ENSMUSG00000001054.9"	406	345	75	210	319	285	299	410	289	"Rmnd5b"	"protein_coding"
"ENSMUSG00000001056.3"	735	595	169	5965	6434	6824	5517	6604	4628	"Nhp2"	"protein_coding"
"ENSMUSG00000001062.18"	436	289	96	386	353	326	433	538	403	"Vps9d1"	"protein_coding"
"ENSMUSG00000001065.15"	492	387	108	485	459	391	391	491	407	"Zfp276"	"protein_coding"
"ENSMUSG00000001076.7"	12	5	5	1	0	0	6	0	0	"C1ql4"	"protein_coding"
"ENSMUSG00000001082.12"	1569	1056	253	1837	1966	1704	1829	2220	1783	"Mfsd10"	"protein_coding"
"ENSMUSG00000001089.14"	1814	1082	384	5023	5738	5065	3865	4201	3639	"Luzp1"	"protein_coding"
"ENSMUSG00000001095.5"	3	4	0	0	0	6	0	0	0	"Slc13a2"	"protein_coding"
"ENSMUSG00000001098.15"	1979	1433	428	3745	4235	4206	4409	5141	4306	"Kctd10"	"protein_coding"
"ENSMUSG00000001100.10"	1350	869	256	3296	3579	3365	3024	3583	2863	"Poldip2"	"protein_coding"
"ENSMUSG00000001103.7"	2	18	12	0	0	0	0	0	2	"Sebox"	"protein_coding"
"ENSMUSG00000001105.15"	703	502	245	598	697	726	739	792	526	"Ift20"	"protein_coding"
"ENSMUSG00000001119.7"	30476	21006	5506	3580	3868	2990	9100	10029	7976	"Col6a1"	"protein_coding"
"ENSMUSG00000001120.15"	734	613	186	731	927	819	976	1139	816	"Pcbp3"	"protein_coding"
"ENSMUSG00000001123.15"	5670	3500	1204	457	473	495	3149	2822	2497	"Lgals9"	"protein_coding"
"ENSMUSG00000001127.12"	1253	861	312	1896	1882.77	1754	1576	1866	1424	"Araf"	"protein_coding"
"ENSMUSG00000001128.7"	55	58	17	64	67	76	108	71	96	"Cfp"	"protein_coding"
"ENSMUSG00000001131.11"	2098	2163	634	2328	2549	2813	3995	4610	3470	"Timp1"	"protein_coding"
"ENSMUSG00000001134.9"	189.99	162	49	412	492	513.98	410	494	313.05	"Uxt"	"protein_coding"
"ENSMUSG00000001138.13"	411	380	140	813	823	799	704	821	645	"Cnnm3"	"protein_coding"
"ENSMUSG00000001143.13"	599	519	194	382	402	448	532	572	530	"Lman2l"	"protein_coding"
"ENSMUSG00000001150.7"	1354	861	293	2684	3070	2886	2499	2773	2233	"Mcm3ap"	"protein_coding"
"ENSMUSG00000001151.10"	2240	1530	404	4276	4260	3372	3758	4134	3398	"Pcnt"	"protein_coding"
"ENSMUSG00000001155.13"	5	9	8	1	0	0	0	0	0	"Ftcd"	"protein_coding"
"ENSMUSG00000001156.9"	320	229	121	33	59	54	106	100	103	"Mxd1"	"protein_coding"
"ENSMUSG00000001157.13"	483	384	109	563	611	578	565	828	597	"Gmcl1"	"protein_coding"
"ENSMUSG00000001158.13"	570	505	166	1052	1132	903	1346	1558	1119	"Snrnp27"	"protein_coding"
"ENSMUSG00000001166.17"	78	71	14	0	0	0	62	64	35	"Oas1c"	"protein_coding"
"ENSMUSG00000001168.16"	7	3	7	0	0	0	0	0	1	"Oas1h"	"protein_coding"
"ENSMUSG00000001173.15"	1377	855	312	1993	2479	2201	2466	2807	2097	"Ocrl"	"protein_coding"
"ENSMUSG00000001175.14"	14267	10324	3161	15318	18110	18137	21381	24249	19699	"Calm1"	"protein_coding"
"ENSMUSG00000001211.15"	1934	1301	359	2590	3348	3032	2445	2556	2263	"Agpat3"	"protein_coding"
"ENSMUSG00000001225.12"	11	8	15	0	0	0	0	0	4	"Slc26a3"	"protein_coding"
"ENSMUSG00000001227.12"	249	226	78	658	666	574	485	458	428	"Sema6b"	"protein_coding"
"ENSMUSG00000001228.14"	2306	1339.9	376.98	10892.54	12166.77	10718.54	12737.78	15196.83	12621.24	"Uhrf1"	"protein_coding"
"ENSMUSG00000001229.9"	2255	1526	439	4417	5507	4941	4440	4971	4287	"Dpp9"	"protein_coding"
"ENSMUSG00000001240.13"	3	3.17	7	0	0	0	4.8	4.88	8.26	"Ramp2"	"protein_coding"
"ENSMUSG00000001247.16"	0	0	4	2	0	0	0	2	0	"Lsr"	"protein_coding"
"ENSMUSG00000001248.15"	779	814	177	680	604	600	710	905	577	"Gramd1a"	"protein_coding"
"ENSMUSG00000001249.14"	15	2	5	0	0	0	0	0	4	"Hpn"	"protein_coding"
"ENSMUSG00000001260.10"	11	10	31	0	0	5	0	0	1	"Gabrg1"	"protein_coding"
"ENSMUSG00000001270.9"	5	4	18.22	0	0	0	3	0	2	"Ckb"	"protein_coding"
"ENSMUSG00000001280.13"	4903	3021	962	7466	8182	7708	6814	7493	6599	"Sp1"	"protein_coding"
"ENSMUSG00000001281.10"	8217	5404	1482	2870	3207	2878	6390	7181	5779	"Itgb7"	"protein_coding"
"ENSMUSG00000001285.12"	814.63	562.51	201.85	1515.68	1716.19	1802.06	1714.38	1900.21	1619.8	"Myg1"	"protein_coding"
"ENSMUSG00000001288.15"	4556	3039	773	2923	3486	3433	4802	5328	4611	"Rarg"	"protein_coding"
"ENSMUSG00000001289.12"	1154.31	1246.48	373.15	1936.32	2068.8	2196.94	2717.58	2987.67	2403.14	"Pfdn5"	"protein_coding"
"ENSMUSG00000001300.16"	118	115	54	624	821	652	517	667	538	"Efnb2"	"protein_coding"
"ENSMUSG00000001305.5"	720	568	222	3064	3459	3175	2683	3149	2410	"Rrp15"	"protein_coding"
"ENSMUSG00000001313.12"	287	189	70	318	235	371	351	386	288	"Rnd2"	"protein_coding"
"ENSMUSG00000001323.17"	462	383	135	130	180	110	263	262	217	"Srr"	"protein_coding"
"ENSMUSG00000001333.9"	229	94	54	21	16	6	41	66	31	"Sync"	"protein_coding"
"ENSMUSG00000001334.9"	9	7	10	0	0	0	4	0	1	"Fndc5"	"protein_coding"
"ENSMUSG00000001348.15"	10	3	3	0	4	0	0	0	6	"Acp5"	"protein_coding"
"ENSMUSG00000001349.5"	22	8	13	1	0	14	3	0	12	"Cnn1"	"protein_coding"
"ENSMUSG00000001366.14"	228	170	50	494	568	413	418	573	445	"Fbxo9"	"protein_coding"
"ENSMUSG00000001376.17"	862	557	232	1430	1489	1610	1647	1796	1428	"Vps50"	"protein_coding"
"ENSMUSG00000001380.7"	903	634	203	3757	4257	3936	3136	3682	3220	"Hars"	"protein_coding"
"ENSMUSG00000001383.9"	671	562	147	1391	1522	1654	1536	1688	1494	"Zmat2"	"protein_coding"
"ENSMUSG00000001403.13"	2437	2644	647	9885	11119	11664	9228	10682	8881	"Ube2c"	"protein_coding"
"ENSMUSG00000001415.10"	2112	1327	398	9098	9760	9543	6719	8501	7140	"Smg5"	"protein_coding"
"ENSMUSG00000001416.13"	4361	2970	939	15562	18033	18395	13744	16592	14072	"Cct3"	"protein_coding"
"ENSMUSG00000001418.13"	5228	3643	1115	1211	1385	1258	2639	2798	2591	"Glmp"	"protein_coding"
"ENSMUSG00000001419.17"	6516	4540	1335	6852	7565	7129	7650	8366	5614	"Mef2d"	"protein_coding"
"ENSMUSG00000001420.13"	101	40	42	136	149	177	181	222	159	"Tmem79"	"protein_coding"
"ENSMUSG00000001424.14"	7239	5489	1472	9191	10355	9288	7835	9182	7449	"Snd1"	"protein_coding"
"ENSMUSG00000001435.15"	33441	25889	6254	7181	8236	6467	12941	15274	12439	"Col18a1"	"protein_coding"
"ENSMUSG00000001436.15"	279	193	71	1696	1800	1617	818	1270	1001	"Slc19a1"	"protein_coding"
"ENSMUSG00000001440.5"	10928	6929	2207	47438	52772	51342	48509	56296	44458	"Kpnb1"	"protein_coding"
"ENSMUSG00000001441.13"	3277	2204	648	5017	5714	5794	4999	4935	4354	"Npepps"	"protein_coding"
"ENSMUSG00000001444.2"	18	21	15	0	0	9	0	0	0	"Tbx21"	"protein_coding"
"ENSMUSG00000001445.10"	838	531	177	1508	1753	1823	1504	1700	1513	"Mrpl10"	"protein_coding"
"ENSMUSG00000001467.5"	1249	745	257	3466	3850	3535	5084	5745	4137	"Cyp51"	"protein_coding"
